,Buyers,w,b
0,0,[[ 0.68056413 -0.09604308  0.50197763]],[[0.01658207]]
1,1,[[-0.01143923  0.09381542  0.71185691]],[[0.01972026]]
2,2,[[ 0.01120093 -0.00477785  0.79860156]],[[0.00132062]]
0,0,[[0.74329025 0.14694818 0.83262712]],[[0.17018037]]
1,1,[[-0.6196493  -0.35315256  0.59647595]],[[-0.26281467]]
2,2,[[0.1309241  0.01793433 0.88658502]],[[0.05693623]]
0,0,[[0.74547037 0.14346131 0.82819057]],[[0.16795225]]
1,1,[[ 0.69276826  0.67833273 -0.04844607]],[[0.39630627]]
2,2,[[-0.44913789  0.30297681  0.4306894 ]],[[-0.23438187]]
0,0,[[0.50690523 0.0603217  0.35312358]],[[-0.19204964]]
1,1,[[ 0.57899001  0.65842085 -0.10558228]],[[0.31008603]]
2,2,[[-0.43757552  0.3087831   0.43271289]],[[-0.22562]]
0,0,[[0.52818178 0.05008502 0.35286885]],[[-0.17085679]]
1,1,[[0.57454327 0.47972328 0.26583396]],[[0.68004097]]
2,2,[[-0.43120568 -0.22326181  0.6886929 ]],[[-0.75557164]]
