datetime,SE1,SE2,SE3,SE4,DK1,DK2
2016-09-20 00:00:00+00:00,18,18,18,18,18,18
2016-09-20 01:00:00+00:00,18,18,18,18,18,18
2016-09-20 02:00:00+00:00,18,18,18,18,18,18
2016-09-20 03:00:00+00:00,18,18,18,18,18,18
2016-09-20 04:00:00+00:00,25,25,25,25,25,25
2016-09-20 05:00:00+00:00,30.2,30.2,30.2,30.2,30.2,30.2
2016-09-20 06:00:00+00:00,27.2,27.2,27.2,27.2,27.2,27.2
2016-09-20 07:00:00+00:00,27.2,27.2,27.2,27.2,27.2,27.2
2016-09-20 08:00:00+00:00,29.7,29.7,29.7,29.7,29.7,29.7
2016-09-20 09:00:00+00:00,30.2,30.2,30.2,30.2,30.2,30.2
2016-09-20 10:00:00+00:00,30.2,30.2,30.2,30.2,30.2,30.2
2016-09-20 11:00:00+00:00,30,30,30,30,30,30
2016-09-20 12:00:00+00:00,27.2,27.2,27.2,27.2,27.2,27.2
2016-09-20 13:00:00+00:00,27,27,27,27,27,27
2016-09-20 14:00:00+00:00,30,30,30,30,30,30
2016-09-20 15:00:00+00:00,36.32,36.32,36.32,38.19,39.13,39.13
2016-09-20 16:00:00+00:00,30.2,30.2,30.2,30.2,30.2,30.2
2016-09-20 17:00:00+00:00,30.2,30.2,30.2,30.2,30.2,30.2
2016-09-20 18:00:00+00:00,34.98,34.98,34.98,40.95,41.95,41.95
2016-09-20 19:00:00+00:00,32.42,32.42,32.42,34.22,35.06,35.06
2016-09-20 20:00:00+00:00,28.54,28.54,28.54,28.54,28.54,28.54
2016-09-20 21:00:00+00:00,26.03,26.03,26.03,26.03,26.03,26.03
2016-09-20 22:00:00+00:00,25.43,25.43,25.43,25.43,25.43,25.43
2016-09-20 23:00:00+00:00,24.94,24.94,24.94,24.94,24.94,24.94
2016-09-21 00:00:00+00:00,24.12,24.12,24.12,24.12,24.11,24.12
2016-09-21 01:00:00+00:00,24.25,24.25,24.25,24.25,24.13,24.25
