datetime,SE1,SE2,SE3,SE4,DK1,DK2
2016-09-20 00:00:00+00:00,23.51,23.51,23.51,23.51,23.51,23.51
2016-09-20 01:00:00+00:00,23.54,23.54,23.54,23.54,23.06,23.54
2016-09-20 02:00:00+00:00,24.02,24.02,24.02,24.02,23.44,24.02
2016-09-20 03:00:00+00:00,25.86,25.86,25.86,25.86,25.24,25.86
2016-09-20 04:00:00+00:00,32.73,32.73,32.73,32.73,32.73,32.73
2016-09-20 05:00:00+00:00,42,42,42,42,42.96,42.96
2016-09-20 06:00:00+00:00,43.88,43.88,43.88,43.88,43.88,43.88
2016-09-20 07:00:00+00:00,43.25,43.25,43.25,43.25,43.25,43.25
2016-09-20 08:00:00+00:00,43.22,43.22,43.22,43.22,43.22,43.22
2016-09-20 09:00:00+00:00,42.19,42.19,42.19,42.19,42.19,42.19
2016-09-20 10:00:00+00:00,38.21,38.21,38.21,38.21,38.21,38.21
2016-09-20 11:00:00+00:00,36.47,36.47,36.47,36.47,36.47,36.47
2016-09-20 12:00:00+00:00,34.22,34.22,34.22,34.22,34.22,34.22
2016-09-20 13:00:00+00:00,34.55,34.55,34.55,34.55,34.55,34.55
2016-09-20 14:00:00+00:00,36.08,36.08,36.08,36.08,36.08,36.08
2016-09-20 15:00:00+00:00,36.32,36.32,36.32,38.19,39.13,39.13
2016-09-20 16:00:00+00:00,40.8,40.8,40.8,41.06,42.07,42.07
2016-09-20 17:00:00+00:00,46.47,46.47,46.47,46.47,46.8,46.8
2016-09-20 18:00:00+00:00,34.98,34.98,34.98,40.95,41.95,41.95
2016-09-20 19:00:00+00:00,32.42,32.42,32.42,34.22,35.06,35.06
2016-09-20 20:00:00+00:00,28.54,28.54,28.54,28.54,28.54,28.54
2016-09-20 21:00:00+00:00,26.03,26.03,26.03,26.03,26.03,26.03
2016-09-20 22:00:00+00:00,25.43,25.43,25.43,25.43,25.43,25.43
2016-09-20 23:00:00+00:00,24.94,24.94,24.94,24.94,24.94,24.94
2016-09-21 00:00:00+00:00,24.12,24.12,24.12,24.12,24.11,24.12
2016-09-21 01:00:00+00:00,24.25,24.25,24.25,24.25,24.13,24.25
2016-09-21 02:00:00+00:00,24.69,24.69,24.69,24.69,24.09,24.69
2016-09-21 03:00:00+00:00,26.34,26.34,26.34,26.34,25.71,26.34
2016-09-21 04:00:00+00:00,31.91,31.91,31.91,31.91,36.97,36.97
2016-09-21 05:00:00+00:00,34.73,34.73,34.73,34.73,48.19,48.19
2016-09-21 06:00:00+00:00,35.96,35.96,35.96,43.22,49.71,49.71
2016-09-21 07:00:00+00:00,39.81,39.81,39.81,43.23,44.5,44.5
2016-09-21 08:00:00+00:00,37.51,37.51,37.51,39.98,39.98,39.98
2016-09-21 09:00:00+00:00,36.03,36.03,36.03,36.03,36.03,36.03
2016-09-21 10:00:00+00:00,32.94,32.94,32.94,32.94,32.15,32.94
2016-09-21 11:00:00+00:00,32.7,32.7,32.7,32.7,31.92,32.7
2016-09-21 12:00:00+00:00,31.94,31.94,31.94,31.94,30.7,31.94
2016-09-21 13:00:00+00:00,32.81,32.81,32.81,32.81,32.81,32.81
2016-09-21 14:00:00+00:00,34.87,34.87,34.87,34.87,35.36,35.36
2016-09-21 15:00:00+00:00,34.36,34.36,34.36,34.36,42.7,42.7
2016-09-21 16:00:00+00:00,34.13,34.13,34.13,34.13,45,45
2016-09-21 17:00:00+00:00,37.14,37.14,37.14,37.14,48.75,48.75
2016-09-21 18:00:00+00:00,33.9,33.9,33.9,33.9,43.87,43.87
2016-09-21 19:00:00+00:00,31.75,31.75,31.75,31.75,37.96,37.96
2016-09-21 20:00:00+00:00,28.49,28.49,28.49,28.49,28.49,28.49
2016-09-21 21:00:00+00:00,26.12,26.12,26.12,26.12,27.09,27.09
2016-09-21 22:00:00+00:00,25.86,25.86,25.86,25.86,25.86,25.86
2016-09-21 23:00:00+00:00,25.09,25.09,25.09,25.09,25.09,25.09
2016-09-22 00:00:00+00:00,24.73,24.73,24.73,24.73,24.73,24.73
2016-09-22 01:00:00+00:00,24.32,24.32,24.32,24.32,24.26,24.32
2016-09-22 02:00:00+00:00,24.84,24.84,24.84,24.84,24.24,24.84
2016-09-22 03:00:00+00:00,27.36,27.36,27.36,27.36,26.84,27.36
2016-09-22 04:00:00+00:00,34.33,34.33,34.33,38.19,38.19,38.19
