datetime,SE1,SE2,SE3,SE4,DK1,DK2
2016-09-20 00:00:00+00:00,43,341,135,153,42,7
2016-09-20 01:00:00+00:00,38,330,161,156,58,10
2016-09-20 02:00:00+00:00,25,292,176,172,80,15
2016-09-20 03:00:00+00:00,21,267,192,153,95,17
2016-09-20 04:00:00+00:00,21,249,198,135,97,28
2016-09-20 05:00:00+00:00,22,229,204,176,109,38
2016-09-20 06:00:00+00:00,24,206,207,180,120,55
2016-09-20 07:00:00+00:00,26,122,150,147,112,65
2016-09-20 08:00:00+00:00,13,57,78,123,100,67
2016-09-20 09:00:00+00:00,2,28,93,149,91,75
2016-09-20 10:00:00+00:00,3,11,93,163,109,105
2016-09-20 11:00:00+00:00,2,3,79,170,118,122
2016-09-20 12:00:00+00:00,2,3,62,181,115,125
2016-09-20 13:00:00+00:00,2,3,71,228,124,134
2016-09-20 14:00:00+00:00,0,3,85,243,132,142
2016-09-20 15:00:00+00:00,0,3,85,244,121,131
2016-09-20 16:00:00+00:00,0,4,97,205,149,114
2016-09-20 17:00:00+00:00,0,7,120,203,178,96
2016-09-20 18:00:00+00:00,0,7,145,207,198,74
2016-09-20 19:00:00+00:00,0,4,129,260,204,74
2016-09-20 20:00:00+00:00,0,3,124,257,204,43
2016-09-20 21:00:00+00:00,0,3,130,210,195,32
2016-09-20 22:00:00+00:00,0,2,121,195,188,29
2016-09-20 23:00:00+00:00,0,4,105,145,129,23
2016-09-21 00:00:00+00:00,0,9,86,122,161,27
2016-09-21 01:00:00+00:00,0,14,60,141,199,22
2016-09-21 02:00:00+00:00,1,10,50,159,152,17
2016-09-21 03:00:00+00:00,2,10,49,174,155,17
2016-09-21 04:00:00+00:00,1,14,44,187,143,39
2016-09-21 05:00:00+00:00,1,16,41,210,134,57
2016-09-21 06:00:00+00:00,2,18,30,184,115,62
2016-09-21 07:00:00+00:00,1,5,15,114,90,68
2016-09-21 08:00:00+00:00,2,1,12,75,60,76
2016-09-21 09:00:00+00:00,1,0,13,62,50,62
2016-09-21 10:00:00+00:00,1,1,13,54,50,50
2016-09-21 11:00:00+00:00,2,3,14,54,44,34
2016-09-21 12:00:00+00:00,3,6,11,55,56,38
2016-09-21 13:00:00+00:00,1,11,11,56,60,64
2016-09-21 14:00:00+00:00,2,19,10,44,63,74
2016-09-21 15:00:00+00:00,6,28,10,35,69,66
2016-09-21 16:00:00+00:00,10,41,16,33,84,47
2016-09-21 17:00:00+00:00,9,47,33,40,96,69
2016-09-21 18:00:00+00:00,9,52,43,43,140,81
2016-09-21 19:00:00+00:00,8,48,49,46,203,105
2016-09-21 20:00:00+00:00,5,43,50,31,222,157
2016-09-21 21:00:00+00:00,4,29,59,22,249,148
2016-09-21 22:00:00+00:00,4,23,61,19,347,114
2016-09-21 23:00:00+00:00,2,22,58,17,409,94
2016-09-22 00:00:00+00:00,3,21,40,24,430,96
2016-09-22 01:00:00+00:00,4,28,27,29,400,108
2016-09-22 02:00:00+00:00,4,31,31,30,388,92
2016-09-22 03:00:00+00:00,6,32,31,26,399,58
2016-09-22 04:00:00+00:00,10,37,34,21,416,59
